Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2020-05-22,91.23971557617188,92.07204332299759,90.62318060459592,91.99497491399555,4373117
2020-05-26,93.83686828613281,94.49964053198666,93.25886451458025,93.48235733817702,5720888
2020-05-27,96.75001525878906,96.97350811839948,95.15472803636219,95.51694526762216,5990965
2020-05-28,95.97164154052734,97.85207766700286,95.7327362177878,97.77501540174538,4095404
2020-05-29,96.25678253173828,96.43403802783294,94.20679728824305,95.30886139430108,8294675
2020-06-01,96.24906158447266,96.91183996187057,95.58628320707473,96.05639366605067,3003798
2020-06-02,97.1045150756836,97.1045150756836,96.07181323435776,96.8501911904424,3115093
2020-06-03,99.45507049560547,99.87893752624231,97.8751957629915,97.99079530314515,4097914
2020-06-04,99.33175659179688,99.37800009706525,97.89060625637818,98.47631632164335,4042581
2020-06-05,101.77478790283203,103.44714967950584,101.53588259200455,103.18511338981308,6163764
2020-06-08,104.61856079101562,104.71874787239491,101.93662211997639,101.93662211997639,5617543
2020-06-09,101.62834930419922,102.96160619388912,100.97327712184713,102.8999563933418,5641706
2020-06-10,100.0870132446289,101.90579934864934,100.03306966518447,101.84414339335001,4952601
2020-06-11,90.94686126708984,97.18159166633176,90.81584927589618,97.12764193453424,12304726
2020-06-12,93.95247650146484,94.8849851570154,91.92561000106754,93.44383485750818,6506434
2020-06-15,93.75210571289062,94.30698473074074,91.16264774544933,91.85625113042713,5385959
2020-06-16,96.44944763183594,98.26052136835796,94.91581647011108,96.33384809655878,5864608
2020-06-17,95.67878723144531,97.29719936828285,95.10078333616195,96.97351325078289,3302013
2020-06-18,95.68648529052734,95.87144701324792,94.27615984255829,94.79250773085808,2997208
2020-06-19,94.3840560913086,97.73647358189031,94.21450681517138,97.2355381298671,8471554
2020-06-22,93.30511474609375,94.40717271657645,92.88895394119011,94.11431767789978,4993081
2020-06-23,92.02579498291016,94.71543372904112,91.88707677417023,94.02953661037508,6937700
2020-06-24,89.72149658203125,91.18577174822619,89.30532963463469,91.18577174822619,7061546
2020-06-25,91.73296356201172,91.87168795665751,89.4748974623933,89.98353922557787,6412608
2020-06-26,90.31491088867188,91.70211761557374,89.59818269793722,91.13952623903708,11244605
2020-06-29,92.28782653808594,92.3109452148663,90.453627992666,90.92373850496615,4350837
2020-06-30,93.07391357421875,93.4052997354511,91.70982549971284,91.8562499406508,4099797
2020-07-01,91.35531616210938,93.42842010173688,91.22430417045776,92.68857935740621,4869967
2020-07-02,92.24929809570312,93.57485512781992,91.91020568645264,92.24159186937156,3919362
2020-07-06,92.62692260742188,93.9062360597935,92.06433121535274,93.44383790487329,4231488
2020-07-07,90.615478515625,92.10287243132225,90.42281055943404,91.70983029271032,4474893
2020-07-08,90.71565246582031,91.43237445292978,89.76772527464166,90.98538879545791,5431669
2020-07-09,89.17432403564453,90.93916058741529,88.78128188787218,90.93916058741529,4982098
2020-07-10,91.20889282226562,91.378442096022,88.85064004267718,89.01247694015345,4482842
2020-07-13,91.86395263671875,93.24345310987357,91.44779185715694,92.31094446862507,4864632
2020-07-14,92.9428939819336,93.16639297809088,90.87749633789062,91.41696903868679,4742982
2020-07-15,94.7925033569336,95.53235021367777,94.13743728192959,94.33009907146847,4679176
2020-07-16,95.57090759277344,95.93312489506593,94.14516936711522,94.54591780785515,4530121
2020-07-17,96.41862487792969,96.81937322260552,94.94664348876421,95.86373971596926,4167892
2020-07-20,97.38967895507812,97.92914556010628,96.44175159526073,97.15847370987693,10384374
2020-07-21,97.1507568359375,101.85955591257324,96.95038266885598,101.08117792116734,16063004
2020-07-22,99.16222381591797,99.7787588488547,96.95039531368185,97.02746373035414,8572388
2020-07-23,98.12950134277344,99.70166965427549,97.99078314184894,99.49358927777898,4414225
2020-07-24,96.94266510009766,98.37611515472265,96.71917228224652,97.47443150836047,3693531
2020-07-27,97.26636505126953,97.35113969109587,96.11036344967368,96.22596299481123,3905136
2020-07-28,95.92539978027344,97.36655017755727,95.67878209210238,96.96580181572214,4370397
2020-07-29,96.58047485351562,97.0968289562097,95.61714114076521,95.9947647088467,2963109
2020-07-30,94.71544647216797,95.48611832494767,93.74440657990387,95.33969387103429,4171553
2020-07-31,94.74626159667969,94.78479272275133,93.32051767873443,94.56900611631087,5519847
2020-08-03,95.80207061767578,95.87913901574649,94.1374276605767,95.17782950876364,3688301
2020-08-04,96.98121643066406,96.99663503357266,95.42446645586291,95.42446645586291,3625541
2020-08-05,96.68065643310547,97.68253352352438,96.03329651030995,97.66712107063219,3786102
2020-08-06,97.1969985961914,97.30489190343651,96.33384598801064,96.33384598801064,3574287
2020-08-07,97.56394958496094,97.64983419902913,96.19761534712002,96.42403445555182,3818946
2020-08-10,99.24259948730469,99.34409837147176,97.73573047917073,97.9231139931327,4150842
2020-08-11,98.9615249633789,101.86595680735108,98.85221895808269,100.53085090204088,5231255
2020-08-12,98.92247772216797,99.77351056876901,98.28225597869535,99.63296983335006,3692066
2020-08-13,97.61862182617188,98.68045971049817,97.41562404851005,98.34472830307791,3317180
2020-08-14,97.8060073852539,98.03242655026469,96.74416947881811,96.97059487457724,3099716
2020-08-17,97.15797424316406,98.05584996782343,97.13454663029613,97.79038894488782,3514665
2020-08-18,97.53272247314453,97.9855669561437,97.0018067264794,97.59518571482462,3014990
2020-08-19,96.68949890136719,97.98556282327142,96.42403792385768,97.46245422503675,3916119
2020-08-20,96.1507797241211,96.84565762824501,95.88532495001601,96.18982158907608,2679015
2020-08-21,96.15858459472656,96.40842509309773,95.49493525654238,96.04146524094627,3540815
2020-08-24,98.1260986328125,98.42278811843245,96.31473321452661,96.65045833085426,4258057
2020-08-25,97.31411743164062,99.01617702396545,97.19700429702041,98.37595523164283,3114674
2020-08-26,96.9471435546875,97.6888703515047,96.77538055637713,97.55614298218606,3544162
2020-08-27,97.32190704345703,97.67325261483344,96.79879847989893,97.28287141585815,3580144
2020-08-28,97.64984893798828,97.82941908823808,96.9861995332899,97.56396431095693,3242182
2020-08-31,96.27570343017578,97.79037945482067,96.05708519269562,97.79037945482067,5049983
2020-09-01,96.3459701538086,96.77539328292333,95.3700232239514,95.91655325544151,3300444
2020-09-02,100.0780029296875,100.4839984045171,96.4865006641968,96.59580665890115,6895650
2020-09-03,97.16578674316406,101.45997495807319,96.54117290352843,100.08583323392264,5979773
2020-09-04,95.48714447021484,97.86846789212265,94.65953287971448,97.08770529730066,6295037
2020-09-08,94.6361083984375,95.93217251879355,94.24572711380935,95.37783533153019,5449974
2020-09-09,95.45589447021484,96.58019541779021,94.69855960967146,95.35439559834323,3944152
2020-09-10,94.12860107421875,96.48650271330204,93.87876057551631,95.66670462023568,4161406
2020-09-11,94.83129119873047,95.79943720300784,94.26133357338601,94.77664131262064,3711313
2020-09-14,95.32316589355469,96.33034747335321,95.06551826937206,95.53397076088488,3809009
2020-09-15,95.596435546875,96.34596328386608,95.44028056001378,95.89312503731354,3049299
2020-09-16,96.98619079589844,98.23540576191041,95.80723996597027,95.80723996597027,3962666
2020-09-17,97.53272247314453,98.02460258797669,95.22947688781034,95.73697125537568,3317180
2020-09-18,95.84628295898438,97.53272827723247,95.76039833309358,97.01742675263537,5639614
2020-09-21,93.8865737915039,94.23791318385844,92.5827026380372,94.06614393564197,5555724
2020-09-22,94.0895767211914,94.82349028368886,93.32442841955194,93.94903597192202,3093859
2020-09-23,92.77790069580078,94.93279867474712,92.46559068103508,94.31599823400612,4120612
2020-09-24,92.20014953613281,93.31663744267954,90.94312085599341,92.20795666458251,3709325
2020-09-25,92.87157440185547,93.23072713467123,91.3022485542298,91.81755004380445,3089570
2020-09-28,95.04208374023438,95.51054242838607,94.01148085704729,94.13640109697218,3670623
2020-09-29,94.42530059814453,95.40125377970503,93.85534294319355,94.79226048979075,2203504
2020-09-30,94.99525451660156,95.96340053308884,94.31599087972334,94.76883538122468,3411111
2020-10-01,94.54241943359375,96.26790675645888,93.9724679750291,95.53398692891959,3359438
2020-10-02,94.13641357421875,95.0577105907409,92.77007918727864,92.94184843415908,3059759
2020-10-05,95.2607192993164,95.83848411926982,94.5111914434768,95.12799190096158,3190823
2020-10-06,95.22947692871094,97.46245837770482,94.9327874344109,95.70574279101444,4050426
2020-10-07,96.86908721923828,97.11892774476645,95.50275276359095,95.77602090086998,2944908
2020-10-08,102.6623306274414,105.79318151864986,101.31941763402837,102.17045050239153,26452189
2020-10-09,99.77351379394531,103.06051969942305,99.62516592740188,103.06051969942305,8737970
2020-10-12,99.32067108154297,100.13266210657599,98.71948493948986,99.99212759483858,4848315
2020-10-13,97.67326354980469,99.27382415249484,97.17357630686364,98.8209796679167,5654781
2020-10-14,98.3291015625,99.1098640638295,97.69668692718187,97.69668692718187,3899593
2020-10-15,97.50929260253906,97.76694644244114,96.69730168514599,96.87687803743408,3541024
2020-10-16,98.3212890625,98.71167029182968,97.32972173692217,97.72791009237866,4927078
2020-10-19,98.00117492675781,99.42996619071832,97.6576426964069,99.00054934509294,7822720
2020-10-20,91.63797760009766,93.80849588101114,91.22417496546439,93.53522775655138,22490151
2020-10-21,89.83441162109375,91.88781659863889,89.62360675823028,91.08363277706826,10204044
2020-10-22,90.38094329833984,90.61517577429932,88.21043139019565,89.78757055918497,8217167
2020-10-23,90.56832885742188,91.0524018419087,90.20137522896599,90.95871009553231,4072496
2020-10-26,87.61705017089844,89.70949076408395,87.32036069356437,89.3581451745384,7534756
2020-10-27,86.32099914550781,87.6170632418708,85.9071964868419,87.56240712150554,6209161
2020-10-28,83.26819610595703,85.67294011721391,82.6982386027967,84.83752790550324,9860956
